new_id	phase	K__Bacteria	Unassigned
2020-023_PSC_0001	BL	11216	0
2020-023_PSC_0006	BL	12476	44
2020-023_PSC_0007	BL	15650	10
2020-023_PSC_0010	BL	4219	0
2020-023_PSC_0015	BL	20710	169
2020-023_PSC_0016	BL	18164	0
2020-023_PSC_0023	BL	22959	0
2020-023_PSC_0031	BL	7179	0
2020-023_PSC_0032	BL	22650	0
2020-023_PSC_0037	BL	1733	0
2020-023_PSC_0042	BL	18369	0
2020-023_PSC_0043	BL	11378	2
2020-023_PSC_0044	BL	2	0
2020-023_PSC_0051	BL	20444	96
2020-023_PSC_0072	BL	36499	0
2020-023_PSC_0073	BL	21290	0
2020-023_PSC_0078	BL	34803	32
2020-023_PSC_0087	BL	6392	0
2020-023_PSC_0100	BL	1	0
2020-023_PSC_0103	BL	9847	0
2020-023_PSC_0106	BL	20144	0
2020-023_PSC_0108	BL	6748	0
2020-023_PSC_0110	BL	55634	5
2020-023_PSC_0112	BL	4514	0
2020-023_PSC_0115	BL	13193	0
2020-023_PSC_0120	BL	18845	0
2020-023_PSC_0127	BL	14822	0
2020-023_PSC_0128	BL	18413	0
2020-023_PSC_0133	BL	16395	15
2020-023_PSC_0136	BL	31174	0
2020-023_PSC_0148	BL	3002	0
2020-023_PSC_0157	BL	21061	0
2020-023_PSC_0158	BL	37552	0
2020-023_PSC_0160	BL	2196	0
2020-023_PSC_0163	BL	17445	0
2020-023_PSC_0169	BL	3521	4
2020-023_PSC_0177	BL	24243	0
2020-023_PSC_0178	BL	1	0
2020-023_PSC_0181	BL	0	0
2020-023_PSC_0187	BL	21734	0
2020-023_PSC_0188	BL	37633	0
2020-023_PSC_0193	BL	14895	0
2020-023_PSC_0195	BL	86775	0
2020-023_PSC_0197	BL	26114	0
2020-023_PSC_0201	BL	5800	13
2020-023_PSC_0203	BL	17355	0
2020-023_PSC_0212	BL	32123	0
2020-023_PSC_0231	BL	18729	11
2020-023_PSC_0232	BL	31878	0
2020-023_PSC_0234	BL	21776	0
2020-023_PSC_0235	BL	26110	4
2020-023_PSC_0239	BL	43459	354
2020-023_PSC_0243	BL	0	0
2020-023_PSC_0274	BL	22927	0
2020-023_PSC_0284	BL	37232	4
2020-023_PSC_0285	BL	18271	0
2020-023_PSC_0292	BL	10851	0
2020-023_PSC_0299	BL	19816	0
2020-023_PSC_0302	BL	80428	8
2020-023_PSC_0313	BL	16345	0
2020-023_PSC_0332	BL	0	0
2020-023_PSC_0343	BL	22327	0
2020-023_PSC_0346	BL	13834	0
2020-023_PSC_0347	BL	6806	0
2020-023_PSC_0356	BL	17373	0
2020-023_PSC_0367	BL	24094	0
2020-023_PSC_0371	BL	16310	98
2020-023_PSC_0375	BL	21855	0
2020-023_PSC_0377	BL	14366	9
2020-023_PSC_0391	BL	29309	0
2020-023_PSC_0394	BL	12453	0
2020-023_PSC_0397	BL	23780	0
2020-023_PSC_0400	BL	860	0
2020-023_PSC_0408	BL	5586	2
2020-023_PSC_0419	BL	18214	0
2020-023_PSC_0430	BL	8707	0
2020-023_PSC_0437	BL	18071	41
2020-023_PSC_0439	BL	18911	0
2020-023_PSC_0446	BL	43316	4
2020-023_PSC_0453	BL	0	0
2020-023_PSC_0456	BL	8372	7
2020-023_PSC_0462	BL	17788	0
2020-023_PSC_0465	BL	16134	3
2020-023_PSC_0485	BL	0	0
2020-023_PSC_0505	BL	21858	3
2020-023_PSC_0508	BL	5678	0
2020-023_PSC_0511	BL	5111	0
2020-023_PSC_0512	BL	18804	0
2020-023_PSC_0525	BL	2520	0
2020-023_PSC_0527	BL	16447	0
2020-023_PSC_0528	BL	17314	0
2020-023_PSC_0532	BL	8314	0
2020-023_PSC_0534	BL	17330	0
2020-023_PSC_0539	BL	2	0
2020-023_PSC_0543	BL	16652	0
2020-023_PSC_0547	BL	2214	0
2020-023_PSC_0551	BL	30676	0
2020-023_PSC_0578	BL	15445	0
2020-023_PSC_0581	BL	29009	0
2020-023_PSC_0587	BL	10460	0
2020-023_PSC_0588	BL	13275	31
2020-023_PSC_0595	BL	59030	0
2020-023_PSC_0603	BL	28403	0
2020-023_PSC_0607	BL	12368	0
2020-023_PSC_0616	BL	38522	54
2020-023_PSC_0618	BL	30263	0
2020-023_PSC_0639	BL	19479	0
2020-023_PSC_0643	BL	26969	0
2020-023_PSC_0658	BL	21433	0
2020-023_PSC_0667	BL	19976	0
2020-023_PSC_0670	BL	13701	0
2020-023_PSC_0688	BL	22659	0
2020-023_PSC_0694	BL	30010	0
2020-023_PSC_0695	BL	41089	0
2020-023_PSC_0698	BL	25924	22
2020-023_PSC_0706	BL	7029	0
2020-023_PSC_0719	BL	26104	170
2020-023_PSC_0724	BL	2	0
2020-023_PSC_0737	BL	20729	0
2020-023_PSC_0743	BL	41521	0
2020-023_PSC_0748	BL	0	0
2020-023_PSC_0751	BL	16630	8
2020-023_PSC_0752	BL	5621	0
2020-023_PSC_0755	BL	47990	8
2020-023_PSC_0760	BL	19974	0
2020-023_PSC_0763	BL	17172	0
2020-023_PSC_0764	BL	16104	32
2020-023_PSC_0766	BL	45397	0
2020-023_PSC_0768	BL	4244	0
2020-023_PSC_0769	BL	27226	0
2020-023_PSC_0775	BL	10635	0
2020-023_PSC_0781	BL	16701	0
